entityCode,entityName,municipalityCode,municipalityName,avgLat,avgLon,popCenterLat,popCenterLon,13-04-20,14-04-20,15-04-20,16-04-20,17-04-20,18-04-20,19-04-20,20-04-20,21-04-20,22-04-20,23-04-20,24-04-20,25-04-20,26-04-20,27-04-20,28-04-20,29-04-20,30-04-20,01-05-20,02-05-20,03-05-20,04-05-20
20,Oaxaca,440,Santa María Totolapilla,16.603228,-95.625455,16.603228,-95.625455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,441,Santa María Xadani,16.38474197222222,-95.02958458333335,16.360301,-95.01985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,442,Santa María Yalina,17.240471,-96.262781,17.240471,-96.262781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,443,Santa María Yavesía,17.233292,-96.429944,17.234215,-96.429516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,444,Santa María Yolotepec,16.881912333333332,-97.48053633333332,16.876805,-97.505328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,445,Santa María Yosoyúa,17.113852500000004,-97.50622616666668,17.104912,-97.498362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,446,Santa María Yucuhiti,17.030798575757576,-97.79901010606059,17.000952,-97.799399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,447,Santa María Zacatepec,16.782255722222224,-97.99249530555555,16.763894,-97.989878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,448,Santa María Zaniza,16.654464444444447,-97.3323201111111,16.655098,-97.338544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,449,Santa María Zoquitlán,16.549599206896552,-96.35680896551725,16.55836,-96.352871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,450,Santiago Amoltepec,16.627752163265306,-97.53208161224491,16.640906,-97.494803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,451,Santiago Apoala,17.658808,-97.139605625,17.685563,-97.147542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,452,Santiago Apóstol,16.805147249999997,-96.71395724999999,16.804263,-96.722414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,453,Santiago Astata,15.940791399999998,-95.67965259999998,15.987631,-95.675866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,454,Santiago Atitlán,17.083123761904766,-95.92074790476194,17.051325,-95.889879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,455,Santiago Ayuquililla,17.921312083333333,-97.96211933333335,17.935106,-97.958262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,456,Santiago Cacaloxtepec,17.74389175,-97.73248775,17.720238,-97.740486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
